id,ranked_id,username,champion_id,champion_level,champion_points,champion_points_since_last_level,champion_points_until_next_level,chest_granted,last_play_time,created_at,updated_at
44265,49,GEM Arklyndarce#GEM,429,4,14254,1654,7346,false,2025-10-09 17:39:53+00,2025-10-11 22:03:19.638613+00,2025-10-11 22:03:19.638613+00
44266,49,GEM Arklyndarce#GEM,21,4,12755,155,8845,false,2025-10-04 18:30:08+00,2025-10-11 22:03:19.638613+00,2025-10-11 22:03:19.638613+00
44267,49,GEM Arklyndarce#GEM,350,2,3455,1655,2545,false,2025-10-06 17:31:13+00,2025-10-11 22:03:19.638613+00,2025-10-11 22:03:19.638613+00
44268,49,GEM Arklyndarce#GEM,222,2,3445,1645,2555,false,2025-10-09 18:12:16+00,2025-10-11 22:03:19.638613+00,2025-10-11 22:03:19.638613+00
44269,49,GEM Arklyndarce#GEM,360,1,1667,1667,133,false,2025-10-04 17:02:15+00,2025-10-11 22:03:19.638613+00,2025-10-11 22:03:19.638613+00
44270,49,GEM Arklyndarce#GEM,711,1,1552,1552,248,false,2025-10-04 13:42:48+00,2025-10-11 22:03:19.638613+00,2025-10-11 22:03:19.638613+00
44271,49,GEM Arklyndarce#GEM,89,1,1323,1323,477,false,2025-10-03 15:34:12+00,2025-10-11 22:03:19.638613+00,2025-10-11 22:03:19.638613+00
44272,49,GEM Arklyndarce#GEM,29,1,1092,1092,708,false,2025-10-03 21:23:55+00,2025-10-11 22:03:19.638613+00,2025-10-11 22:03:19.638613+00
44273,49,GEM Arklyndarce#GEM,221,1,994,994,806,false,2025-10-04 14:12:38+00,2025-10-11 22:03:19.638613+00,2025-10-11 22:03:19.638613+00
44274,49,GEM Arklyndarce#GEM,19,1,743,743,1057,false,2025-10-03 18:29:03+00,2025-10-11 22:03:19.638613+00,2025-10-11 22:03:19.638613+00
44275,49,GEM Arklyndarce#GEM,267,1,572,572,1228,false,2025-10-04 13:11:58+00,2025-10-11 22:03:19.638613+00,2025-10-11 22:03:19.638613+00
44276,46,GEM Ornetchreans#GEM,432,5,14589,1989,7011,false,2025-08-31 21:04:56+00,2025-10-11 22:03:21.140539+00,2025-12-13 20:59:07.178473+00
44277,46,GEM Ornetchreans#GEM,245,3,3131,1331,2869,false,2025-08-31 19:56:24+00,2025-10-11 22:03:21.140539+00,2025-12-26 19:43:56.48925+00
44278,46,GEM Ornetchreans#GEM,81,3,2897,1097,3103,false,2025-08-30 19:39:20+00,2025-10-11 22:03:21.140539+00,2025-11-20 23:28:29.131018+00
44279,46,GEM Ornetchreans#GEM,112,2,1012,1012,788,false,2025-08-30 23:07:41+00,2025-10-11 22:03:21.140539+00,2025-12-26 19:44:45.095609+00
44280,46,GEM Ornetchreans#GEM,202,1,860,860,940,false,2025-08-31 21:23:59+00,2025-10-11 22:03:21.140539+00,2025-10-11 22:03:21.140539+00
44281,46,GEM Ornetchreans#GEM,63,1,670,670,1130,false,2025-08-31 20:13:10+00,2025-10-11 22:03:21.140539+00,2025-10-11 22:03:21.140539+00
44282,10,GEM Deellycella#GEM,350,8,56971,3371,7629,false,2025-07-24 01:54:02+00,2025-10-11 22:03:22.736741+00,2025-10-11 22:03:22.736741+00
44283,10,GEM Deellycella#GEM,107,6,39022,7422,3578,false,2023-08-26 16:14:47+00,2025-10-11 22:03:22.736741+00,2025-10-11 22:03:22.736741+00
44284,10,GEM Deellycella#GEM,497,6,32880,1280,9720,false,2025-04-20 02:10:49+00,2025-10-11 22:03:22.736741+00,2025-10-11 22:03:22.736741+00
44285,10,GEM Deellycella#GEM,21,6,30223,0,12377,false,2022-10-17 11:22:22+00,2025-10-11 22:03:22.736741+00,2025-10-11 22:03:22.736741+00
44286,10,GEM Deellycella#GEM,29,5,25960,4360,5640,false,2022-10-06 01:15:18+00,2025-10-11 22:03:22.736741+00,2025-10-11 22:03:22.736741+00
44287,10,GEM Deellycella#GEM,117,5,25825,4225,5775,false,2022-11-15 01:26:40+00,2025-10-11 22:03:22.736741+00,2025-10-11 22:03:22.736741+00
44288,10,GEM Deellycella#GEM,31,4,18741,6141,2859,false,2025-07-14 03:58:15+00,2025-10-11 22:03:22.736741+00,2025-10-11 22:03:22.736741+00
44289,10,GEM Deellycella#GEM,875,4,15478,2878,6122,false,2022-07-26 20:24:08+00,2025-10-11 22:03:22.736741+00,2025-10-11 22:03:22.736741+00
44290,10,GEM Deellycella#GEM,141,4,13289,689,8311,false,2022-08-21 23:30:39+00,2025-10-11 22:03:22.736741+00,2025-10-11 22:03:22.736741+00
44291,10,GEM Deellycella#GEM,85,3,9455,3455,3145,false,2025-07-14 04:42:40+00,2025-10-11 22:03:22.736741+00,2025-10-11 22:03:22.736741+00
44292,10,GEM Deellycella#GEM,103,3,7058,1058,5542,false,2025-04-15 13:14:31+00,2025-10-11 22:03:22.736741+00,2025-10-11 22:03:22.736741+00
