id,user_id,ranked_id,ranked_name,ranked_username,bloodline,action,title,description,metadata,created_at
1072,2d926f04-c40a-404e-9772-bf458d31f2e2,44,Matutte,GEM Golzendants#GEM,Primogenit,RANK_UP,SoloQ Promotion!,Matutte climbed in SoloQ from Unranked to SILVER II in GEM Golzendants#GEM,"{""queue"":""SoloQ"",""points"":""250"",""toTier"":""silver"",""fromTier"":""UNRANKED"",""toDivision"":""2"",""fromDivision"":""0"",""divisionsGained"":""10""}",2025-12-21 20:24:33.143663+00
1073,a098c50f-409f-4fc7-bb2c-c77b073e66cc,19,Gusta_L,GEM Damglantine#GEM,Zephiroth,WIN,Victory!,Gusta_L won 1 win in GEM Damglantine#GEM,"{""wins"":""1"",""points"":""70"",""totalWins"":""85""}",2025-12-21 22:12:00.18091+00
1074,b28c318f-d58f-44ff-a5f0-cf19b2fe580e,48,AegonLucifer,GEM Furninscorce#GEM,Porveldam,MEMBER,New Member!,AegonLucifer redeemed the Majesty account GEM Furninscorce#GEM,"{""points"":""0"",""username"":""GEM Furninscorce#GEM"",""bloodline"":""Porveldam""}",2025-12-21 23:09:19.446276+00
1075,a098c50f-409f-4fc7-bb2c-c77b073e66cc,19,Gusta_L,GEM Damglantine#GEM,Zephiroth,WIN,Victory!,Gusta_L won 1 win in GEM Damglantine#GEM,"{""wins"":""1"",""points"":""70"",""totalWins"":""85""}",2025-12-21 23:14:59.966799+00
1076,a098c50f-409f-4fc7-bb2c-c77b073e66cc,19,Gusta_L,GEM Damglantine#GEM,Zephiroth,RANK_UP,Flex Promotion!,Gusta_L climbed in Flex from EMERALD III to EMERALD II in GEM Damglantine#GEM,"{""queue"":""Flex"",""points"":""25"",""toTier"":""EMERALD"",""fromTier"":""EMERALD"",""toDivision"":""2"",""fromDivision"":""3"",""divisionsGained"":""1""}",2025-12-21 23:16:33.365468+00
1077,f3254e34-8239-4641-b404-d679548ded03,34,peraltadoctor,GEM Phrasimfasya#GEM,Gladasmy,RANK_UP,Flex Promotion!,peraltadoctor climbed in Flex from PLATINUM IV to PLATINUM II in GEM Phrasimfasya#GEM,"{""queue"":""Flex"",""points"":""50"",""toTier"":""platinum"",""fromTier"":""platinum"",""toDivision"":""2"",""fromDivision"":""4"",""divisionsGained"":""2""}",2025-12-21 23:16:45.006934+00
1078,b28c318f-d58f-44ff-a5f0-cf19b2fe580e,48,AegonLucifer,GEM Furninscorce#GEM,Porveldam,WIN,Victory!,AegonLucifer won 1 win in GEM Furninscorce#GEM,"{""wins"":""1"",""points"":""70"",""totalWins"":""30""}",2025-12-21 23:55:54.547498+00
1079,b28c318f-d58f-44ff-a5f0-cf19b2fe580e,48,AegonLucifer,GEM Furninscorce#GEM,Porveldam,WIN,Victory!,AegonLucifer won 12 wins in GEM Furninscorce#GEM,"{""wins"":""12"",""points"":""840"",""totalWins"":""30""}",2025-12-21 23:56:09.432897+00
1080,b28c318f-d58f-44ff-a5f0-cf19b2fe580e,48,AegonLucifer,GEM Furninscorce#GEM,Porveldam,RANK_UP,SoloQ Promotion!,AegonLucifer climbed in SoloQ from GOLD IV to GOLD III in GEM Furninscorce#GEM,"{""queue"":""SoloQ"",""points"":""25"",""toTier"":""gold"",""fromTier"":""gold"",""toDivision"":""3"",""fromDivision"":""4"",""divisionsGained"":""1""}",2025-12-21 23:56:19.118244+00
1081,b28c318f-d58f-44ff-a5f0-cf19b2fe580e,48,AegonLucifer,GEM Furninscorce#GEM,Porveldam,RANK_UP,Flex Promotion!,AegonLucifer climbed in Flex from Unranked to SILVER I in GEM Furninscorce#GEM,"{""queue"":""Flex"",""points"":""275"",""toTier"":""silver"",""fromTier"":""UNRANKED"",""toDivision"":""1"",""fromDivision"":""0"",""divisionsGained"":""11""}",2025-12-21 23:57:25.738837+00
1082,a098c50f-409f-4fc7-bb2c-c77b073e66cc,19,Gusta_L,GEM Damglantine#GEM,Zephiroth,WIN,Victory!,Gusta_L won 2 wins in GEM Damglantine#GEM,"{""wins"":""2"",""points"":""140"",""totalWins"":""85""}",2025-12-22 05:25:42.515187+00
1083,a098c50f-409f-4fc7-bb2c-c77b073e66cc,19,Gusta_L,GEM Damglantine#GEM,Zephiroth,WIN,Victory!,Gusta_L won 2 wins in GEM Damglantine#GEM,"{""wins"":""2"",""points"":""140"",""totalWins"":""85""}",2025-12-22 05:25:42.6779+00
1084,d9795c74-0656-41af-a563-330e5581c2dd,53,flashendyt,GEM Reamsetmours#GEM,Spadelline,WIN,Victory!,flashendyt won 2 wins in GEM Reamsetmours#GEM,"{""wins"":""2"",""points"":""140"",""totalWins"":""30""}",2025-12-22 05:27:57.762968+00
1085,d9795c74-0656-41af-a563-330e5581c2dd,53,flashendyt,GEM Reamsetmours#GEM,Spadelline,WIN,Victory!,flashendyt won 1 win in GEM Reamsetmours#GEM,"{""wins"":""1"",""points"":""70"",""totalWins"":""30""}",2025-12-22 18:47:42.941097+00
1086,a098c50f-409f-4fc7-bb2c-c77b073e66cc,19,Gusta_L,GEM Damglantine#GEM,Zephiroth,HONOR_UP,Honor Increased!,"Gusta_L increased their honor, reaching level 5","{""to"":""5"",""from"":""4"",""gained"":""1"",""points"":""300""}",2025-12-22 18:48:47.966746+00
1087,d9795c74-0656-41af-a563-330e5581c2dd,53,flashendyt,GEM Reamsetmours#GEM,Spadelline,MASTERY_LEVEL_UP,Mastery Upgrade!,flashendyt reached mastery level 1 with Sylas in GEM Reamsetmours#GEM,"{""to"":""1"",""from"":""0"",""points"":""50"",""championId"":""517"",""championName"":""Sylas""}",2025-12-22 18:49:09.290289+00
1088,d9795c74-0656-41af-a563-330e5581c2dd,53,flashendyt,GEM Reamsetmours#GEM,Spadelline,WIN,Victory!,flashendyt won 1 win in GEM Reamsetmours#GEM,"{""wins"":""1"",""points"":""70"",""totalWins"":""30""}",2025-12-22 20:13:59.348577+00
1089,d9795c74-0656-41af-a563-330e5581c2dd,53,flashendyt,GEM Reamsetmours#GEM,Spadelline,MASTERY_LEVEL_UP,Mastery Upgrade!,flashendyt reached mastery level 4 with Volibear in GEM Reamsetmours#GEM,"{""to"":""4"",""from"":""3"",""points"":""50"",""championId"":""106"",""championName"":""Volibear""}",2025-12-22 20:56:51.147338+00
1090,d9795c74-0656-41af-a563-330e5581c2dd,53,flashendyt,GEM Reamsetmours#GEM,Spadelline,WIN,Victory!,flashendyt won 1 win in GEM Reamsetmours#GEM,"{""wins"":""1"",""points"":""70"",""totalWins"":""30""}",2025-12-22 21:30:27.841316+00
1091,b28c318f-d58f-44ff-a5f0-cf19b2fe580e,48,AegonLucifer,GEM Furninscorce#GEM,Porveldam,LEVEL_UP,Level Up!,AegonLucifer leveled up to 33 in GEM Furninscorce#GEM,"{""to"":""33"",""from"":""30"",""gained"":""3"",""points"":""240""}",2025-12-22 21:32:04.775139+00
1092,b28c318f-d58f-44ff-a5f0-cf19b2fe580e,48,AegonLucifer,GEM Furninscorce#GEM,Porveldam,RANK_UP,Flex Promotion!,AegonLucifer climbed in Flex from SILVER I to GOLD I in GEM Furninscorce#GEM,"{""queue"":""Flex"",""points"":""100"",""toTier"":""gold"",""fromTier"":""silver"",""toDivision"":""1"",""fromDivision"":""1"",""divisionsGained"":""4""}",2025-12-22 22:02:38.388661+00
1093,d9795c74-0656-41af-a563-330e5581c2dd,53,flashendyt,GEM Reamsetmours#GEM,Spadelline,RANK_UP,Flex Promotion!,flashendyt climbed in Flex from GOLD IV to GOLD III in GEM Reamsetmours#GEM,"{""queue"":""Flex"",""points"":""25"",""toTier"":""gold"",""fromTier"":""gold"",""toDivision"":""3"",""fromDivision"":""4"",""divisionsGained"":""1""}",2025-12-22 22:03:28.225827+00
1094,b28c318f-d58f-44ff-a5f0-cf19b2fe580e,48,AegonLucifer,GEM Furninscorce#GEM,Porveldam,HONOR_UP,Honor Increased!,"AegonLucifer increased their honor, reaching level 5","{""to"":""5"",""from"":""4"",""gained"":""1"",""points"":""300""}",2025-12-22 22:03:42.211607+00
1095,d9795c74-0656-41af-a563-330e5581c2dd,53,flashendyt,GEM Reamsetmours#GEM,Spadelline,RANK_UP,Flex Promotion!,flashendyt climbed in Flex from GOLD I to PLATINUM IV in GEM Reamsetmours#GEM,"{""queue"":""Flex"",""points"":""25"",""toTier"":""platinum"",""fromTier"":""gold"",""toDivision"":""4"",""fromDivision"":""1"",""divisionsGained"":""1""}",2025-12-22 22:04:08.827925+00
1096,b28c318f-d58f-44ff-a5f0-cf19b2fe580e,48,AegonLucifer,GEM Furninscorce#GEM,Porveldam,LEVEL_UP,Level Up!,AegonLucifer leveled up to 34 in GEM Furninscorce#GEM,"{""to"":""34"",""from"":""33"",""gained"":""1"",""points"":""80""}",2025-12-22 22:05:09.294069+00
1097,2d926f04-c40a-404e-9772-bf458d31f2e2,44,Matutte,GEM Golzendants#GEM,Primogenit,WIN,Victory!,Matutte won 1 win in GEM Golzendants#GEM,"{""wins"":""1"",""points"":""70"",""totalWins"":""27""}",2025-12-22 23:16:04.971604+00
1098,a098c50f-409f-4fc7-bb2c-c77b073e66cc,19,Gusta_L,GEM Damglantine#GEM,Zephiroth,WIN,Victory!,Gusta_L won 1 win in GEM Damglantine#GEM,"{""wins"":""1"",""points"":""70"",""totalWins"":""85""}",2025-12-22 23:23:17.147768+00
1099,d7895f20-abd6-4552-a559-63ba2626b88f,19,Gusta_L,GEM Damglantine#GEM,Zephiroth,MISSION_COMPLETED,Mission Completed!,Gusta_L completed a mission in GEM Damglantine#GEM,"{""points"":""10"",""progress"":""12/12"",""missionNumber"":""12"",""totalMissions"":""12""}",2025-12-22 23:23:29.121937+00
